descriptor,F_stat,p_value,eta_squared,n,p_adj_bh,sig
ce_entropy,4.119051390621686,0.016321995495138554,0.0018486675512472633,4451,0.02176266066018474,*
n_distinct_envs,2.281088899662515,0.10229240232787035,0.0010246185493090368,4451,0.10229240232787035,
dominance,16.275197365757737,9.067941269299684e-08,0.0072648205831565005,4451,3.6271765077198737e-07,***
gini,6.3973046681077905,0.001681411943661189,0.002868235472988848,4451,0.003362823887322378,**
