group_a,group_b,mean_a,mean_b,diff,cohens_d,q_stat,p_tukey,sig
Metastable,Stable,1.090121318791931,1.103764409007741,-0.013643090215810005,-0.0235159816149969,0.8624803467953073,0.8147375619680225,
Metastable,Unstable,1.090121318791931,1.0422939882025881,0.047827330589342854,0.07461711308594099,3.005703095063966,0.08486745325544631,
Stable,Unstable,1.103764409007741,1.0422939882025881,0.06147042080515286,0.10055105264928947,3.872082512323295,0.01707331519652444,*
