model,feature,coefficient
naive,nsites,0.23766297703994496
naive,nelements,-0.36953077096831616
entropy,ce_entropy,0.17530010992221037
entropy,n_distinct_envs,-0.8459159633165177
entropy,dominance,-0.8101252449869365
entropy,gini,0.35281059258277264
full,ce_entropy,0.6211682730194483
full,n_distinct_envs,-1.0425526423095688
full,dominance,-0.6229017077012253
full,gini,0.38325025954242553
full,nsites,0.17317550203970294
full,nelements,-0.5001197948027829
