model,auc,ci_low,ci_high,mcfadden_r2
naive,0.6074945407149984,0.5908635664352502,0.6249915539521061,-0.03853652518478401
entropy,0.6225886785125793,0.6070733100205865,0.6393512478121121,-0.0033168880005447487
full,0.6877846878202704,0.6734037396880366,0.7033801385582145,0.031577277028168926
