material_id,formula_pretty,energy_above_hull,is_stable,theoretical,has_icsd,nsites,nelements,crystal_system,space_group,chemsys,elements,synth_class,synthesizable,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-571126,Ti2BRh6,0.0,True,False,True,9,3,Cubic,Fm-3m,B-Rh-Ti,"['B', 'Rh', 'Ti']",0,1,0.8486855577264172,3,0.6666666666666666,0.3703703703703702,"{""C:12"": 2, ""O:6"": 1, ""TT_1:9"": 6}",9
mp-557717,Li3Nd3(WO6)2,0.0,True,False,True,80,4,Cubic,Ia-3d,Li-Nd-O-W,"['Li', 'Nd', 'O', 'W']",0,1,0.7305880613711224,3,0.75,0.4333333333333333,"{""T:4"": 60, ""C:8"": 12, ""O:6"": 8}",80
mp-773453,K2FePCO7,0.0,True,True,False,24,5,Monoclinic,P2_1/m,C-Fe-K-O-P,"['C', 'Fe', 'K', 'O', 'P']",0,0,1.863679987341,7,0.25,0.2142857142857144,"{""SA:8"": 4, ""O:6"": 2, ""T:4"": 2, ""TL:3"": 2, ""S:1"": 6, ""A:2"": 4, ""L:2"": 4}",24
mp-1228715,Ba5Nb3O3F20,0.0,True,True,False,62,4,Hexagonal,P6_3/m,Ba-F-Nb-O,"['Ba', 'F', 'Nb', 'O']",0,0,1.982987487214188,8,0.1935483870967742,0.2298387096774194,"{""H:11"": 8, ""C:12"": 2, ""PB:7"": 6, ""S:1"": 10, ""ST:7"": 6, ""SMA:9"": 12, ""S:5"": 12, ""PP:5"": 6}",62
mp-1029565,Na3W2N5,0.0,True,True,False,40,3,Tetragonal,I4_1,N-Na-W,"['N', 'Na', 'W']",0,0,1.7650572522256294,7,0.3,0.3285714285714287,"{""DDPN:8"": 4, ""TY:3"": 8, ""SA:8"": 2, ""SS:4"": 2, ""T:4"": 8, ""A:2"": 4, ""TL:3"": 12}",40
mp-9322,Rb2Sn2Se5,0.0,True,False,True,18,3,Monoclinic,C2/c,Rb-Se-Sn,"['Rb', 'Se', 'Sn']",0,1,1.5810937501718234,5,0.2222222222222222,0.088888888888889,"{""TT_1:9"": 4, ""T:5"": 4, ""O:6"": 2, ""S:5"": 4, ""SS:4"": 4}",18
mp-1103320,PrGeIr,0.0,True,False,True,12,3,Orthorhombic,Pnma,Ge-Ir-Pr,"['Ge', 'Ir', 'Pr']",0,1,1.0986122886681096,3,0.3333333333333333,0.0,"{""UNKNOWN:14"": 4, ""TT_1:9"": 4, ""C:8"": 4}",12
mp-3395,SrSeO3,0.0,True,False,True,10,3,Monoclinic,P2_1/m,O-Se-Sr,"['O', 'Se', 'Sr']",0,1,0.9502705392332348,3,0.6,0.2666666666666666,"{""SS:9"": 2, ""TY:3"": 2, ""S:1"": 6}",10
mp-504874,YB7Mo3,0.0,True,False,True,44,3,Orthorhombic,Pnma,B-Mo-Y,"['B', 'Mo', 'Y']",0,1,1.8462202193216333,7,0.2727272727272727,0.2337662337662338,"{""UNKNOWN:19"": 4, ""PP:6"": 12, ""PB:7"": 4, ""SBT:8"": 8, ""ST:7"": 4, ""TO_3:9"": 8, ""HP:12"": 4}",44
mp-1112610,Cs2TaHgF6,0.0,True,True,False,10,4,Cubic,Fm-3m,Cs-F-Hg-Ta,"['Cs', 'F', 'Hg', 'Ta']",0,0,0.9502705392332348,3,0.6,0.2666666666666666,"{""C:12"": 2, ""O:6"": 2, ""S:1"": 6}",10
mp-22474,Na(CoO2)2,0.0,True,False,True,28,3,Orthorhombic,Pmmn,Co-Na-O,"['Co', 'Na', 'O']",0,1,1.5498260458782016,5,0.2857142857142857,0.1714285714285714,"{""T:6"": 4, ""O:6"": 8, ""T:5"": 8, ""T:4"": 4, ""SS:4"": 4}",28
