pettifor_bin,span_mean,span_median,n_total,F_stat,p_value,eta_squared,n_Stable,n_Metastable,n_Unstable,p_adj_bh
Q1 (similar),24.358771929824563,26.0,1140,0.11194159690723111,0.8941063266077335,0.0001968681779577992,310,310,520,0.8941063266077335
Q2,50.80036798528059,50.0,1087,0.3941617552300116,0.6743415805178349,0.000726707223312419,455,318,314,0.8941063266077335
Q3,78.82189400521285,81.0,1151,0.33232904162218807,0.7173202578846264,0.0005786354429616451,459,359,333,0.8941063266077335
Q4 (diverse),90.25629077353216,90.0,1073,11.215640616683151,1.5116904628887042e-05,0.020533356760016216,276,499,298,6.046761851554817e-05
