crystal_system,n_total,F_stat,p_value,eta_squared,n_Stable,n_Metastable,n_Unstable,p_adj_bh
Cubic,621,12.41548117846193,5.1704902562769045e-06,0.038627514558231206,256,165,200,9.048357948484582e-06
Hexagonal,342,26.294787710758673,2.4208823918602975e-11,0.13429769003658618,161,89,92,8.473088371511041e-11
Monoclinic,1038,11.351863952117563,1.3281370303083948e-05,0.0214651109807668,284,416,338,1.8593918424317527e-05
Orthorhombic,963,34.414814696204225,3.675611398878948e-15,0.06690090120465995,390,255,318,2.5729279792152634e-14
Tetragonal,572,21.127881510267233,1.409307453006021e-09,0.06912943088131651,225,177,170,3.288384057014049e-09
Triclinic,566,9.362656708834049,0.00010000155952361686,0.03218927040952688,64,251,251,0.00011666848611088634
Trigonal,349,2.699300638083169,0.06866891173938042,0.015363183736532657,120,133,96,0.06866891173938042
