material_id,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-22790,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1245542,2.180945560561596,10,0.2,0.2699999999999998,"{""TL:3"": 8, ""TY:3"": 12, ""SS:4"": 8, ""T:6"": 4, ""S:5"": 8, ""O:6"": 4, ""T:4"": 4, ""S:1"": 16, ""A:2"": 12, ""TS:3"": 4}",80
mp-1225857,1.666332585328325,7,0.45454545454545453,0.3116883116883118,"{""T:4"": 2, ""ST:7"": 10, ""T:5"": 2, ""S:5"": 2, ""O:6"": 2, ""SS:4"": 2, ""T:6"": 2}",22
mp-33753,1.0549201679861442,3,0.4,0.13333333333333353,"{""O:6"": 4, ""S:1"": 8, ""SS:4"": 8}",20
mp-867188,1.5607104090414063,5,0.3333333333333333,0.1333333333333333,"{""TBSA:10"": 2, ""O:6"": 2, ""T:4"": 2, ""TY:3"": 4, ""SY:4"": 2}",12
mp-863333,0.6730116670092565,2,0.6,0.10000000000000009,"{""O:6"": 9, ""S:5"": 6}",15
mp-1201512,0.9042800434920157,5,0.7209302325581395,0.6046511627906976,"{""DDPN:8"": 2, ""C:8"": 2, ""T:4"": 7, ""TL:3"": 1, ""S:1"": 31}",43
mp-22474,1.5498260458782016,5,0.2857142857142857,0.17142857142857149,"{""T:6"": 4, ""O:6"": 8, ""T:5"": 8, ""T:4"": 4, ""SS:4"": 4}",28
mp-1099887,1.054193663282741,4,0.575,0.4125000000000001,"{""C:12"": 8, ""O:6"": 8, ""L:2"": 23, ""S:5"": 1}",40
mp-1024056,1.0346012329101812,3,0.5,0.19047619047619047,"{""O:6"": 8, ""T:4"": 14, ""SS:4"": 6}",28
mp-1228191,1.432117586378047,5,0.2857142857142857,0.27142857142857135,"{""DDPN:8"": 3, ""PB:7"": 1, ""T:4"": 8, ""TL:3"": 8, ""S:1"": 8}",28
mp-1028188,-0.0,1,1.0,0.0,"{""AC:12"": 16}",16
mp-1044124,1.6726254461503207,6,0.2727272727272727,0.25757575757575735,"{""T:5"": 4, ""O:6"": 4, ""T:4"": 8, ""A:2"": 12, ""L:2"": 4, ""TL:3"": 12}",44
mp-754811,-0.0,1,1.0,0.0,"{""O:6"": 16}",16
mp-1212845,1.4127446368638479,5,0.38461538461538464,0.3384615384615386,"{""UNKNOWN:18"": 2, ""DI:11"": 8, ""I:12"": 10, ""PBP:12"": 2, ""PA:10"": 4}",26
mp-1184260,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1105933,1.6094379124341005,5,0.2,0.0,"{""TT_1:9"": 4, ""O:6"": 4, ""S:5"": 4, ""ST:7"": 4, ""T:5"": 4}",20
mp-28330,1.4270610433807245,5,0.4444444444444444,0.3111111111111111,"{""S:5"": 2, ""S:4"": 2, ""S:1"": 8, ""A:2"": 4, ""TS:3"": 2}",18
mp-989561,0.9502705392332347,3,0.6,0.2666666666666666,"{""O:6"": 2, ""C:12"": 2, ""L:2"": 6}",10
mp-542699,0.9556998911125343,3,0.5714285714285714,0.2857142857142856,"{""S:1"": 16, ""A:2"": 8, ""T:6"": 4}",28
mp-1205721,1.2798542258336676,4,0.4,0.25,"{""DDPN:8"": 2, ""L:2"": 3, ""O:6"": 1, ""S:4"": 4}",10
mp-1036879,-0.0,1,1.0,0.0,"{""O:6"": 64}",64
mp-1180795,0.5623351446188083,2,0.75,0.25,"{""UNKNOWN:18"": 8, ""PB:7"": 24}",32
mp-976726,0.6931471805599453,2,0.5,0.0,"{""T:4"": 8, ""O:6"": 8}",16
mp-23044,0.8675632284814612,3,0.6666666666666666,0.3333333333333335,"{""T:4"": 2, ""DDPN:8"": 2, ""A:2"": 8}",12
mp-18300,1.351783994289646,4,0.2857142857142857,0.10714285714285698,"{""FO:7"": 8, ""O:6"": 8, ""BO_2:8"": 4, ""ST:7"": 8}",28
mp-864965,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1210304,1.6417347121875212,6,0.36363636363636365,0.2878787878787876,"{""HB:8"": 2, ""C:8"": 2, ""O:6"": 4, ""T:6"": 4, ""S:5"": 8, ""TBT:8"": 2}",22
mp-505766,0.9502705392332347,3,0.6,0.2666666666666666,"{""C:12"": 2, ""O:6"": 2, ""L:2"": 6}",10
mp-1174150,-0.0,1,1.0,0.0,"{""O:6"": 20}",20
mp-644763,1.3689223607402194,4,0.3333333333333333,0.08333333333333326,"{""SS:4"": 12, ""I:12"": 8, ""S:1"": 8, ""T:4"": 8}",36
mp-1016319,-0.0,1,1.0,0.0,"{""AC:12"": 8}",8
mp-22113,1.2730283365896256,4,0.4444444444444444,0.25,"{""DDPN:8"": 8, ""O:6"": 4, ""T:4"": 16, ""S:5"": 8}",36
mp-861867,0.5623351446188083,2,0.75,0.25,"{""T:6"": 2, ""TBSA:10"": 6}",8
mp-1223646,-0.0,1,1.0,0.0,"{""T:4"": 4}",4
mp-1186602,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-556920,1.5030658660713345,5,0.3157894736842105,0.21052631578947367,"{""O:6"": 12, ""SS:4"": 8, ""ST:7"": 8, ""T:4"": 8, ""S:5"": 2}",38
mp-865594,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1105566,1.7480673485460891,7,0.4,0.25714285714285734,"{""BS_2:10"": 2, ""TT_2:9"": 2, ""O:6"": 8, ""FO:7"": 2, ""SS:4"": 2, ""SBSA:10"": 2, ""L:2"": 2}",20
mp-768142,0.6730116670092565,2,0.6,0.10000000000000009,"{""O:6"": 28, ""SS:4"": 42}",70
mp-1184841,-0.0,1,1.0,0.0,"{""AC:12"": 8}",8
mp-1238836,1.277034259466139,4,0.42857142857142855,0.25,"{""O:6"": 8, ""SBT:8"": 4, ""T:5"": 4, ""S:5"": 12}",28
mp-760026,0.6931471805599453,2,0.5,0.0,"{""T:4"": 12, ""O:6"": 12}",24
mp-1093686,-0.0,1,1.0,0.0,"{""L:2"": 4}",4
mp-1205226,1.6494145089581176,7,0.34285714285714286,0.416326530612245,"{""T:6"": 4, ""S:4"": 2, ""TS:3"": 8, ""A:2"": 20, ""S:1"": 24, ""SS:4"": 8, ""PP:6"": 4}",70
mp-1102404,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""UNKNOWN:16"": 4, ""I:12"": 8}",12
mp-1227690,0.9556998911125343,3,0.5714285714285714,0.2857142857142856,"{""TT_1:9"": 4, ""O:6"": 8, ""L:2"": 2}",14
mp-1226426,1.9568965587146119,8,0.21428571428571427,0.2723214285714286,"{""O:6"": 8, ""S:5"": 4, ""T:4"": 12, ""S:1"": 9, ""L:2"": 6, ""A:2"": 11, ""TY:3"": 4, ""TL:3"": 2}",56
mp-1072399,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""UNKNOWN:16"": 2, ""I:12"": 4}",6
mp-1222849,1.8468891232610352,7,0.2857142857142857,0.22448979591836737,"{""T:5"": 4, ""O:6"": 2, ""T:4"": 4, ""S:1"": 4, ""A:2"": 2, ""TL:3"": 8, ""TS:3"": 4}",28
mp-1399447,0.5623351446188083,2,0.75,0.25,"{""O:6"": 2, ""L:2"": 6}",8
mp-559551,1.7115472862863528,7,0.35294117647058826,0.3697478991596639,"{""T:4"": 24, ""S:5"": 8, ""O:6"": 16, ""SBT:8"": 4, ""ST:7"": 8, ""PP:6"": 4, ""FO:7"": 4}",68
mp-29485,1.540305825226517,6,0.45454545454545453,0.3484848484848482,"{""O:6"": 20, ""TS:3"": 4, ""TT_3:9"": 4, ""DI:11"": 8, ""H:11"": 4, ""TT_1:9"": 4}",44
mp-1106395,1.0397207708399179,3,0.5,0.16666666666666674,"{""AC:12"": 8, ""BS_2:10"": 4, ""SBT:8"": 4}",16
mp-2020519,1.0986122886681096,3,0.3333333333333333,0.0,"{""H:11"": 6, ""AC:12"": 6, ""SH:13"": 6}",18
mp-17612,1.1537419427010902,4,0.5714285714285714,0.3214285714285714,"{""SMA:9"": 4, ""BS_2:10"": 4, ""T:4"": 4, ""S:1"": 16}",28
mp-570037,0.7595473914748635,3,0.7272727272727273,0.4242424242424243,"{""T:4"": 6, ""L:2"": 12, ""S:1"": 48}",66
mp-862665,0.5623351446188083,2,0.75,0.25,"{""AC:12"": 2, ""SBSA:10"": 6}",8
mp-1522302,0.9502705392332347,3,0.6,0.2666666666666666,"{""C:12"": 2, ""O:6"": 2, ""L:2"": 6}",10
mp-30236,1.4553330351928315,5,0.4375,0.27500000000000013,"{""TT_2:9"": 8, ""TT_1:9"": 8, ""SS:4"": 28, ""S:5"": 8, ""TY:3"": 12}",64
mp-569115,0.5623351446188083,2,0.75,0.25,"{""H:11"": 12, ""TT_1:9"": 4}",16
mp-1205505,1.3321790402101223,4,0.4,0.15000000000000013,"{""ST:7"": 2, ""TT_1:9"": 2, ""T:4"": 4, ""L:2"": 2}",10
mp-2018161,1.3296613488547582,4,0.3333333333333333,0.16666666666666652,"{""AC:12"": 2, ""SH:13"": 2, ""C:12"": 1, ""C:8"": 1}",6
mp-675380,2.1154643456106483,11,0.2916666666666667,0.40909090909090917,"{""O:6"": 14, ""PB:7"": 2, ""ST:7"": 6, ""TC:9"": 4, ""PP:6"": 5, ""SS:4"": 3, ""BO_2:8"": 7, ""TY:3"": 3, ""SBT:8"": 2, ""S:5"": 1, ""ET:7"": 1}",48
mp-776414,1.8090102842668667,7,0.29411764705882354,0.2857142857142858,"{""O:6"": 5, ""TL:3"": 2, ""S:5"": 3, ""SBT:8"": 1, ""A:2"": 3, ""PP:6"": 2, ""L:2"": 1}",17
mp-978506,0.9502705392332347,3,0.6,0.2666666666666666,"{""C:12"": 1, ""O:6"": 1, ""L:2"": 3}",5
mp-1234773,2.098573312934175,10,0.28,0.3400000000000001,"{""O:6"": 7, ""S:5"": 2, ""TL:3"": 4, ""SS:4"": 2, ""T:5"": 3, ""T:4"": 2, ""ET:7"": 2, ""ST:7"": 1, ""BO_2:8"": 1, ""BO_3:8"": 1}",25
mp-1184273,0.6365141682948128,2,0.6666666666666666,0.16666666666666652,"{""O:6"": 2, ""TL:3"": 4}",6
