feature,coefficient,std_error,p_value,ci_lower,ci_upper,significant,feature_label,abs_coef
precursor_diversity,-0.4095584224948185,0.10961154578723073,0.00018663408795849054,-0.6243931045275538,-0.19472374046208318,True,Precursor Diversity (# elements),0.4095584224948185
precursor_count,0.2212474578266968,0.15180955928112289,0.1450056225006143,-0.07629381087320236,0.518788726526596,False,Precursor Count,0.2212474578266968
n_steps,0.14396545613953698,0.0981495322418559,0.14243123976321143,-0.04840409215395339,0.33633500443302733,False,Number of Steps,0.14396545613953698
max_temperature_C,-0.07433388678359873,0.16320986839070614,0.648785741561966,-0.394219350750905,0.2455515771837075,False,Max Temperature (°C),0.07433388678359873
total_time_h,0.01662861532930963,0.09902312749626858,0.86664103774135,-0.17745314819989474,0.21071037885851399,False,Total Heating Time (h),0.01662861532930963
