,Precursor Count,Max Temperature (°C),Total Heating Time (h),Number of Steps,Precursor Diversity (# elements),Band Gap (eV),Formation Energy (eV/atom),Energy Above Hull (eV/atom),Crystal Density (g/cm³)
Precursor Count,0.0,0.0046802889276312985,1.1462197178144763e-05,0.04412291788457507,0.0,2.413032051434647e-53,3.7599295831080554e-11,0.4708651640680101,8.103972819827601e-13
Max Temperature (°C),0.0046802889276312985,0.0,0.00017203342971273248,2.0234392622599753e-13,2.7666978575886802e-21,2.5241402033988555e-10,1.1295657071581753e-159,0.02126320039988574,3.5676706589731387e-41
Total Heating Time (h),1.1462197178144763e-05,0.00017203342971273248,0.0,1.620935591561451e-27,7.805556131467595e-09,1.4565211095791236e-15,1.5154610230285137e-05,0.952745803269101,3.873849904048778e-18
Number of Steps,0.04412291788457507,2.0234392622599753e-13,1.620935591561451e-27,0.0,0.017759139953742092,0.6420789327853044,0.0008143840163568701,0.873796124383426,0.00014220740998030135
Precursor Diversity (# elements),0.0,2.7666978575886802e-21,7.805556131467595e-09,0.017759139953742092,0.0,2.8124540820207845e-88,3.4446136694180464e-29,0.03484746972790457,1.9002418950247725e-105
Band Gap (eV),2.413032051434647e-53,2.5241402033988555e-10,1.4565211095791236e-15,0.6420789327853044,2.8124540820207845e-88,0.0,1.7751995567584208e-276,7.872309149971367e-17,8.240831780912339e-132
Formation Energy (eV/atom),3.7599295831080554e-11,1.1295657071581753e-159,1.5154610230285137e-05,0.0008143840163568701,3.4446136694180464e-29,1.7751995567584208e-276,0.0,2.712009977065484e-10,7.103553005270523e-05
Energy Above Hull (eV/atom),0.4708651640680101,0.02126320039988574,0.952745803269101,0.873796124383426,0.03484746972790457,7.872309149971367e-17,2.712009977065484e-10,0.0,1.2722169430379861e-05
Crystal Density (g/cm³),8.103972819827601e-13,3.5676706589731387e-41,3.873849904048778e-18,0.00014220740998030135,1.9002418950247725e-105,8.240831780912339e-132,7.103553005270523e-05,1.2722169430379861e-05,0.0
