formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
Ag10Te4Br3,0.8722000000000001,-0.366431655490194,0.0,7.194733997305497,1688.3369880809976
Ag2GeO3,0.2116,-1.20002395347222,0.036120807083332006,6.505166443541104,343.4581846043545
Ag2MoO4,1.873099999999999,-1.251052689761907,0.001024362499997,6.23221806833446,200.1924022766432
Ag2Te,0.0,-0.09518987166666601,0.0,8.246593148191318,276.5377143946268
Ag2TeO3,1.627299999999999,-0.9061985770833321,0.049155812222223004,6.658987119565562,390.34548632956637
Ag2WO4,2.0439,-1.348469886904761,0.038722113035714004,7.439841138292023,827.7410476393571
AgBi3S5,0.5262,-0.372202277673611,0.0,6.622904931039951,448.86817991033735
AgBiS2,0.491799999999999,-0.29191600432291404,0.01682917041667,6.9967727327971385,271.2521356624077
AgBiSe2,0.23409999999999903,-0.32030861244791703,0.003968881249999,7.9436345532406545,297.73718917118396
AgCl,0.9522,-0.568439933749999,0.0,5.582622712233539,42.630581348524416
Al2NiO4,3.205599999999999,-2.802741493571429,0.0,4.533626381964133,258.8135604925488
Al3Fe,0.0,-0.154061757499999,0.17269562333333302,4.151306674196288,109.43277322920537
Al4SiC4,1.200899999999999,-0.20606409152631502,0.047234519555557006,2.982586873305359,204.94263865262954
AlFe3N,0.0,-0.310164052999998,0.323238184999998,6.737893041831554,51.390098037995756
AlFeO3,2.1792,-2.534268328,0.032552852499998,4.499455863270265,193.12520973604154
AlPO4,5.6126000000000005,-3.12717220299603,0.0,2.6215115904003943,231.745176873954
AlSb,1.2255,-0.252975485,0.0,4.175546636123753,59.15180866014202
Ba11W4O23,1.370899999999999,-2.8197182021052623,0.046415821776284005,6.215358783305617,1396.718983667394
Ba2CaUO6,2.1948,-3.550436109999999,0.0,6.39047624557279,337.1538572711704
Ba2CeNbO6,0.0,-3.375568956,0.008726700999993,6.180047217996893,162.20300578187766
Ba2CeTaO6,0.0,-3.484094686733333,0.0,7.063294363905758,162.61796913557265
Ba2Co9O14,0.0,-1.496708619599999,0.09071525480001301,6.357115155438415,268.7961930782194
Ba2CrMoO6,0.0,-2.660207095999999,0.0,6.372916817232361,270.2477271734844
Ba2Cu2Te2P2O13,0.0,-2.278679284172336,0.017869941904759,5.052683377052795,609.2326948353498
Ba2CuGe2O7,0.196299999999999,-2.384455024999999,0.019345141666653,4.845679264744744,408.1206266824496
Ba2CuOsO6,0.0,-2.111882844,0.0,7.164414977040089,144.72702024370693
Ba2CuWO6,0.0,-2.4447410720000002,0.039605294249994004,7.236261871794743,141.823721275345
Ba2ErRuO6,0.07160000000000001,-2.8655752519999993,0.0,7.136039155136842,148.6889622359816
Ba2Fe2O5,0.0,-2.299320453968254,0.0,5.439626922371605,1993.0198226307202
Ba2FeMoO6,0.9037000000000001,-2.5011106080000003,0.0,6.296069728794797,275.57648782293916
Ba2Gd2Si4O13,0.12249999999999901,-3.5312099183333343,0.0,5.1001029534204,592.239294188705
Ba2GdMoO6,0.9083000000000001,-3.040581021999999,0.0,6.5563467703389975,158.00130671201794
Ba2GdNbO6,2.71,-3.423956167000001,0.0,6.50223340807881,158.54151124740073
Ba2GdSbO6,3.4839,-3.056831461,0.0,7.004243157262212,154.01899248806973
Ba2HoTaO6,3.447999999999999,-3.590339720233332,0.0,7.711723000804539,154.28766470373407
Ba2In2O5,0.919,-2.422391895925927,0.0,6.2577470899305965,310.08967785474204
Ba2IrO4,0.0,-2.259269779999999,0.019473801964299,8.066736618047301,109.2793890851786
Ba2La3Ti3NbO15,2.7971,-3.605261031041667,0.02421279885416,5.952288972711102,651.6120972448613
Ba2La4Ti5O18,2.3756,-3.622963055747126,0.080110879655164,6.075523598450491,371.05410474156275
Ba2LaIrO6,0.0,-2.7118537085,0.0,7.21217838334224,161.57687796609576
Ba2LaNbO6,3.0639,-3.3879811675,0.0,6.0057287427805,166.57630491209474
Ba2LaTaO6,3.621299999999999,-3.506661578233334,0.0,7.077143312498277,162.0157176249183
Ba2LaV3O11,3.5103,-3.015995105882353,0.013139318676474,4.398188497409918,1121.1403292703114
Ba2LuNbO6,2.847899999999999,-3.506273435666666,0.0,7.149695836572776,148.2991313028161
Ba2MgGe2O7,3.6256,-2.790592405416678,0.0,4.679977548349784,394.7239515831128
Ba2MgSi2O7,4.4529,-3.363647231666667,0.0,4.233832091529407,366.4201239669737
Ba2MgWO6,3.223099999999999,-2.9532242795,0.0,6.880619859427777,139.68398093544786
Ba2MnMoO6,1.265399999999999,-2.6296567122931043,0.0,6.020136434621891,287.70721948597884
Ba2MnWO6,2.2267,-2.746980555793102,0.0,6.964970701094756,290.591241413471
Ba2NaNb5O15,2.5069,-3.122631501636057,0.012755246032607002,5.090958681793204,2615.046806858276
Ba2NiTeO6,0.0,-2.277184675666666,0.0,6.392955090528779,289.3268995963374
Ba2PrIrO6,0.0,-2.67204645016668,0.0,7.413182993896305,157.64428931345427
Ba2Sc2O5,2.851399999999999,-3.507443436666667,0.0,5.17813320009842,285.1274423869106
Ba2ScIrO6,0.0,-2.7803704155,0.0,7.227767719406533,139.6439944322221
Ba2ScO3F,3.5461,-3.588310730714287,0.0,5.445478310239811,117.89142942402336
Ba2Si3O8,4.8327,-3.377933791730798,0.0,3.917211602114707,825.6137464350783
Ba2Si5N8,2.881599999999999,-1.340124068000002,0.0,4.60581850014143,380.09679578091016
Ba2SiO4,4.6319,-3.361976853214285,0.0,5.376656001946446,453.05578895218787
Ba2SnO4,2.442199999999999,-2.725244696428571,0.0,6.514413199418974,116.58253492892035
Ba2Ti3Nb4O18,2.5979,-3.304524156666667,0.008893637314814,4.996607434706462,716.4240145555289
Ba2Ti9O20,2.7396000000000003,-3.515651867903225,0.006569662620966,4.444100582049656,1532.6309130152902
Ba2TiMnO6,1.158799999999999,-2.9717277023764384,0.019383723583304,5.809227201089389,541.3396553466218
Ba2TiO4,4.144,-3.399091214047619,0.0,5.088301343372636,504.5528493342891
Ba2U2O7,0.5051,-3.681598229999999,0.0,7.479366002316607,383.06982319618965
Ba2WO5,3.1569,-2.869734222187485,0.0,7.193970389808469,497.18600108739514
Ba3InIr2O9,0.016399999999999002,-2.148578039444445,0.0,7.847764593504196,446.5594330912881
Ba3La2Ti2Nb2O15,2.3876,-3.460355204236111,0.049812327013889005,6.027044547396914,333.73907784564324
Ba3La3Ti4NbO18,2.408299999999999,-3.539705683390805,0.066113689224138,6.028500338308067,385.91961151605767
Ba3LaNb3O12,2.6586,-3.299096265526316,0.06101193134212401,6.164793966282747,275.17611771936373
