family,target,n,observed_r2,boot_mean,ci_lower,ci_upper,n_boot
Mn-oxide,band_gap,25,0.7300247293805356,0.7958249119477395,0.6423451189847256,0.9145756230277775,1000
Co-oxide,band_gap,23,0.6109930381879354,0.6752937705213553,0.25817572719495646,0.9382183265961616,1000
Sm-compound,band_gap,19,0.5880900253464951,0.7497387984628427,0.5196360600292084,0.9746296801801484,1000
Nd-compound,band_gap,51,0.48031764906199137,0.5629743016764133,0.3587965522155078,0.7678978273148226,1000
Fe-oxide,band_gap,21,0.4316035003405615,0.5836563581899562,0.19327612775666836,0.9445321959449476,1000
Bi-oxide,band_gap,41,0.3290643551615462,0.4121491047337464,0.101263671534115,0.7411250558491566,1000
ZnO family,band_gap,75,0.24759064257246133,0.28643522896755813,0.15341298740450887,0.42862241980719534,1000
Cu-oxide,band_gap,19,0.16626059999068,0.44955994419131695,0.08089156492758341,0.895882769525026,1000
