property,property_label,n,beta_no_ctrl,p_no_ctrl,beta_with_ctrl,p_with_ctrl,pct_beta_change,beta_target_n_elements,p_target_n_elements,r2_model_a,r2_model_b,interpretation
band_gap,Band Gap (eV),3647,0.5392678755184437,7.640631634632336e-50,0.4738765474902007,1.6561606279727723e-27,-12.125945378329238,0.11771877130923551,0.00039313698486618626,0.14001869122362887,0.14272519312774867,robust — minimal confounding (<15% change)
formation_energy_per_atom,Formation Energy (eV/atom),3647,-0.2985349945224987,3.705296160609921e-40,-0.22715424506323204,2.384179331887324e-27,23.910345778202277,-0.128501047078413,2.988806515971408e-13,0.26657545715917486,0.2800520128531835,partial confound — retains significance despite 15–40% β change
density,Crystal Density (g/cm³),3647,-0.7124218307844815,1.7397942219847545e-62,-0.6339573742096292,8.573406994191251e-61,11.013763641753007,-0.14125327773507096,0.0016104814139262821,0.1824452053488329,0.18669681004492922,robust — minimal confounding (<15% change)
